id,kampong,mukim,district,gender,age,education,q_fbspeed,q_fbqual,q_mbqual,q_fbexpend,q_fbusage,q_limiting
1,Kg. Lorong Tiga Selatan,Mukim Seria,Belait,Female,47,O Level,54,Fair,Poor,782,620,I'll almost never download software that costs hundreds of dollars upfront – it's just not worth breaking the bank every five minutes to keep basic services running fine.
2,Kg. Anggerek Desa,Mukim Berakas A,Brunei-Muara,Male,38,O Level,58,Very Good,Good,53,260,I'd rather not get internet just to pay an extra $50 for installation that'll likely wear off within a year anyway.
3,Kg. Bebatik,Mukim Pangkalan Batu,Brunei-Muara,Female,42,O Level,711,Poor,Good,744,750,I don't use Video Calls enough because poor calls keep dropping mid-conversation.
4,Kg. Panaga,Mukim Seria,Belait,Male,47,Higher National Diploma,56,Very Good,Good,53,320,"I wish I had reliable internet at home, but it's so easy for me to just use my neighbor's place when I need it."
5,Kg. Sungai Hanching,Mukim Berakas B,Brunei-Muara,Male,50,Bachelor Degree,187,Good,Good,635,290,I'd love to stream more videos and games if it weren't for how expensive it costs me every month right now.
6,Kg. Menunggul,Mukim Kota Batu,Brunei-Muara,Female,33,National Diploma,58,Fair,Good,617,410,I wish I had better internet options here because satellite speeds are just so ridiculously slow.
7,Kg. Tanjong Maya,Mukim Tanjong Maya,Tutong,Male,54,Bachelor Degree,55,Very Good,Good,34,120,It's hard for me to stream my favorite shows and movies when I'm stuck on a super limited data plan that usually runs out by the middle of the month.
8,Kg. Kandang,Mukim Pekan Tutong,Tutong,Male,38,A Level,88,Very Good,Fair,601,450,It's frustrating when you're online and someone gets a slow internet connection from a different location nearby because our rural speeds are so inconsistent.
9,Kg. Rimba,Mukim Gadong A,Brunei-Muara,Male,33,PhD,888,Very Good,Very Poor,590,310,I struggle to stream videos on Netflix because my phone just can't handle it - 1GB of data is never enough when I'm on Wi-Fi.
10,Kg. Berangan,Mukim Kianggeh,Brunei-Muara,Female,38,Bachelor Degree,146,Fair,Very Good,34,120,It's really frustrating to set up everything from scratch every 90 days because the one-time fee just feels like such a huge upfront expense.
11,Kg. Lugu,Mukim Sengkurong,Brunei-Muara,Male,18,Higher National Diploma,20,Very Good,Good,588,390,I get frustrated when I try to fix problems on my devices only to realize it was just a phishing scam or some unwanted software that came with my internet service last year.
12,Kg. Mentiri,Mukim Mentiri,Brunei-Muara,Female,39,National Diploma,37,Very Good,Very Good,8,190,I hardly watch any videos when I'm browsing at home because getting anything that's more than 2 seconds out of date seems impossible with our internet here.
13,Kg. Lambak A,Mukim Berakas A,Brunei-Muara,Male,33,Lower Secondary,53,Good,Excellent,574,630,It's frustrating when you're trying to use video calls because it always ends up being choppy and the audio keeps dropping.
14,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,25,Lower Secondary,192,Fair,Good,559,620,I've been having pretty frustrating experiences with dropped calls and weak signals on my mobile phone when I'm far from home because our area's coverage is really lacking.
15,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Female,53,O Level,18,Very Good,Good,552,720,I avoid checking email from unknown senders because it's just too much hassle worrying about getting hacked or scammed every now and then.
16,Kg. Sungai Orok,Mukim Berakas B,Brunei-Muara,Male,42,National Certificate,54,Fair,Good,34,70,I struggle to do more than basic browsing on my old computer at home because I got really stuck in school.
17,Kg. Sungai Akar,Mukim Berakas B,Brunei-Muara,Female,29,National Diploma,52,Excellent,Excellent,34,120,I've started cutting back on browsing because the monthly price just doesn't fit into our budget anymore.
18,Kg. Lambak B,Mukim Berakas A,Brunei-Muara,Female,40,O Level,56,Fair,Excellent,526,640,It's really frustrating when they keep changing their website policies because I'm stuck with outdated software from last year.
19,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Female,44,Higher National Diploma,51,Good,Very Good,492,500,It's hard to stay connected when every month feels like it's eating into half my salary.
20,Kg. Lambak A,Mukim Berakas A,Brunei-Muara,Male,37,Diploma,872,Good,Good,488,240,"Honestly, having to use this public network is a pain when I'm in a rush and need reliable internet elsewhere."
